Player;950;500;1920;700

Decor;BACKGROUND/Asteroid(1);100;-550;1;1;45;150;4;1;0.22;0;
Decor;BACKGROUND/Asteroid(2);440;-370;1;1;45;150;4;1;0.18;0;
Decor;BACKGROUND/Asteroid(4);825;-120;1;1;45;150;4;1;0.20;0;
Decor;BACKGROUND/Asteroid(1);1032;-80;1;1;45;150;4;1;0.21;0;
Decor;BACKGROUND/Asteroid(3);1454;-240;1;1;45;150;4;1;0.17;0;

Decor;BACKGROUND/StarSheet;300;200;0.4;0.4;45;80;3;8;0.12;6;
Decor;BACKGROUND/StarSheet;600;30;0.4;0.4;60;70;3;8;0.07;2;
Decor;BACKGROUND/StarSheet;900;100;0.6;0.6;30;95;3;8;0.10;5;
Decor;BACKGROUND/StarSheet;1200;50;0.5;0.5;20;85;3;8;0.09;1;
Decor;BACKGROUND/StarSheet;1500;0;0.4;0.4;50;75;3;8;0.06;4;
Decor;BACKGROUND/StarSheet;1800;400;0.5;0.5;10;65;3;8;0.08;0;
Decor;BACKGROUND/StarSheet;200;350;0.6;0.6;35;60;3;8;0.11;7; 
Decor;BACKGROUND/StarSheet;500;150;0.3;0.3;25;85;3;8;0.13;6;
Decor;BACKGROUND/StarSheet;800;500;0.4;0.4;55;50;3;8;0.09;3;
Decor;BACKGROUND/StarSheet;1000;250;0.4;0.4;40;100;3;8;0.10;2;
Decor;BACKGROUND/StarSheet;1300;450;0.5;0.5;65;90;3;8;0.12;1;
Decor;BACKGROUND/StarSheet;1600;100;0.6;0.6;75;95;3;8;0.07;4;
Decor;BACKGROUND/StarSheet;1900;300;0.3;0.3;80;85;3;8;0.06;0;
Decor;BACKGROUND/StarSheet;250;-50;0.4;0.4;5;80;3;8;0.08;6;
Decor;BACKGROUND/StarSheet;750;400;0.6;0.6;50;70;3;8;0.05;7;
Decor;BACKGROUND/StarSheet;1250;-200;0.5;0.5;30;65;3;8;0.14;5;
Decor;BACKGROUND/StarSheet;1550;0;0.4;0.4;20;75;3;8;0.12;2;
Decor;BACKGROUND/StarSheet;1700;300;0.6;0.6;45;85;3;8;0.11;3;
Decor;BACKGROUND/StarSheet;200;450;0.3;0.3;70;90;3;8;0.07;0;

Decor;BACKGROUND/StarSheet;250;300;0.4;0.4;30;85;3;8;0.08;3;
Decor;BACKGROUND/StarSheet;550;400;0.3;0.3;20;70;3;8;0.07;5;
Decor;BACKGROUND/StarSheet;850;500;0.5;0.5;45;75;3;8;0.13;6;
Decor;BACKGROUND/StarSheet;1150;700;0.4;0.4;50;90;3;8;0.11;2;
Decor;BACKGROUND/StarSheet;1450;-300;0.4;0.4;25;80;3;8;0.06;7;
Decor;BACKGROUND/StarSheet;1650;600;0.3;0.3;35;65;3;8;0.12;0;
Decor;BACKGROUND/StarSheet;950;350;0.5;0.5;60;85;3;8;0.10;4;
Decor;BACKGROUND/StarSheet;500;200;0.3;0.3;40;75;3;8;0.09;2;
Decor;BACKGROUND/StarSheet;300;80;0.4;0.4;10;90;3;8;0.14;1;
Decor;BACKGROUND/StarSheet;1850;75;0.4;0.4;15;95;3;8;0.05;5;

Decor;BACKGROUND/StarSheet;150;-180;0.4;0.4;20;85;3;8;0.05;2;
Decor;BACKGROUND/StarSheet;350;-170;0.5;0.5;40;70;3;8;0.13;5;
Decor;BACKGROUND/StarSheet;600;-150;0.4;0.4;50;75;3;8;0.11;3;
Decor;BACKGROUND/StarSheet;1000;-200;0.3;0.3;25;80;3;8;0.10;1;
Decor;BACKGROUND/StarSheet;1300;-160;0.4;0.4;35;90;3;8;0.08;7;
Decor;BACKGROUND/StarSheet;1600;-190;0.3;0.3;15;95;3;8;0.12;0;
Decor;BACKGROUND/StarSheet;200;-150;0.5;0.5;45;65;3;8;0.06;4;
Decor;BACKGROUND/StarSheet;800;-180;0.4;0.4;30;75;3;8;0.09;6;
Decor;BACKGROUND/StarSheet;1200;-200;0.4;0.4;60;85;3;8;0.07;2;
Decor;BACKGROUND/StarSheet;1700;-170;0.3;0.3;20;90;3;8;0.10;1;

Decor;BACKGROUND/StarSheet;100; -250;0.4;0.4;25;70;3;8;0.12;4;
Decor;BACKGROUND/StarSheet;400; -350;0.5;0.5;50;85;3;8;0.10;5;
Decor;BACKGROUND/StarSheet;700; -400;0.4;0.4;45;80;3;8;0.11;3;
Decor;BACKGROUND/StarSheet;1100; -300;0.5;0.5;40;75;3;8;0.13;6;
Decor;BACKGROUND/StarSheet;1300; -450;0.3;0.3;30;65;3;8;0.09;2;
Decor;BACKGROUND/StarSheet;1500; -350;0.4;0.4;35;90;3;8;0.08;4;

Decor;BACKGROUND/Planet04;50;-50;0.3;0.3;15;255;3;1;0.005;1;
Button;0;0;1;1;UI/menuList; ;0;Menu;0;0;0;1


Bar
Clock;7000

TextBox; ;UI/Consol_de_bord;2;700;1;1;0;0
TextBox; ;UI/BARE_fond;410;870;1;1;0;0
TextBox; ;UI/BARE_fond;410;975;1;1;0;0
TextBox; ;UI/Group 24;1000;845;0.9;0.9;0;0

TextBox;0 %;UI/LevelPercentage;1235;925;1;1;44;1
TextBox;0 Pt;UI/LevelPercentage;1000;990;1;1;34;2
TextBox;x1;UI/LevelPercentage;920;905;1;1;18;3
Audio;Level(6).mp3; ; ; ; 
Mob;1;0;0;1;10.0;0
Mob;1;0;0;2;10.0;1
Mob;1;0;0;3;10.0;2
Mob;5;0;0;1;10.0;2
Mob;5;0;0;4;10.0;1
Mob;5;0;0;5;10.0;0
Mob;9;0;0;2;10.0;1
Mob;9;0;0;3;10.0;0
Mob;9;0;0;4;10.0;2
Mob;13;0;0;2;10.0;0
Mob;13;0;0;1;10.0;2
Mob;13;0;0;5;10.0;1
Mob;17;0;0;3;10.0;2
Mob;17;0;0;4;10.0;1
Mob;17;0;0;2;10.0;0
Mob;21;0;0;4;10.0;1
Mob;21;0;0;5;10.0;2
Mob;21;0;0;3;10.0;0
Mob;25;0;0;5;10.0;0
Mob;25;0;0;1;10.0;2
Mob;25;0;0;2;10.0;1
Mob;29;0;0;1;10.0;2
Mob;29;0;0;3;10.0;0
Mob;29;0;0;4;10.0;1
Mob;33;0;0;1;10.0;1
Mob;33;0;0;2;10.0;2
Mob;33;0;0;5;10.0;0
Mob;37;0;0;2;10.0;0
Mob;37;0;0;3;10.0;1
Mob;37;0;0;4;10.0;2
Mob;41;0;0;2;10.0;2
Mob;41;0;0;1;10.0;1
Mob;41;0;0;5;10.0;0
Mob;45;0;0;3;10.0;1
Mob;45;0;0;4;10.0;0
Mob;45;0;0;5;10.0;2
Mob;49;0;0;4;10.0;0
Mob;49;0;0;2;10.0;2
Mob;49;0;0;1;10.0;1
Mob;53;0;0;5;10.0;2
Mob;53;0;0;3;10.0;0
Mob;53;0;0;2;10.0;1
Mob;57;0;0;1;10.0;1
Mob;57;0;0;5;10.0;0
Mob;57;0;0;3;10.0;2
Mob;61;0;0;1;10.0;0
Mob;61;0;0;4;10.0;1
Mob;61;0;0;2;10.0;2
Mob;65;0;0;2;10.0;2
Mob;65;0;0;3;10.0;0
Mob;65;0;0;1;10.0;1
Mob;69;0;0;2;10.0;1
Mob;69;0;0;5;10.0;0
Mob;69;0;0;4;10.0;2
Mob;73;0;0;3;10.0;0
Mob;73;0;0;1;10.0;2
Mob;73;0;0;2;10.0;1
Mob;77;0;0;4;10.0;2
Mob;77;0;0;2;10.0;0
Mob;77;0;0;5;10.0;1
Mob;81;0;0;5;10.0;1
Mob;81;0;0;3;10.0;2
Mob;81;0;0;4;10.0;0
Mob;85;0;0;1;10.0;0
Mob;85;0;0;2;10.0;1
Mob;85;0;0;5;10.0;2
Mob;89;0;0;1;10.0;2
Mob;89;0;0;3;10.0;0
Mob;89;0;0;4;10.0;1
Mob;93;0;0;2;10.0;1
Mob;93;0;0;5;10.0;0
Mob;93;0;0;3;10.0;2
Mob;97;0;0;2;10.0;0
Mob;97;0;0;4;10.0;1
Mob;97;0;0;1;10.0;2
Mob;101;0;0;3;10.0;2
Mob;101;0;0;5;10.0;0
Mob;101;0;0;4;10.0;1

Mob;105;0;0;4;10.0;1
Mob;105;0;0;1;10.0;0
Mob;105;0;0;5;10.0;2
Mob;109;0;0;5;10.0;0
Mob;109;0;0;2;10.0;2
Mob;109;0;0;3;10.0;1
Mob;113;0;0;1;10.0;2
Mob;113;0;0;3;10.0;0
Mob;113;0;0;4;10.0;1
Mob;117;0;0;1;10.0;1
Mob;117;0;0;2;10.0;0
Mob;117;0;0;5;10.0;2
Mob;121;0;0;2;10.0;0
Mob;121;0;0;4;10.0;1
Mob;121;0;0;3;10.0;2
Mob;125;0;0;2;10.0;2
Mob;125;0;0;1;10.0;0
Mob;125;0;0;5;10.0;1
Mob;129;0;0;3;10.0;1
Mob;129;0;0;4;10.0;0
Mob;129;0;0;1;10.0;2
Mob;133;0;0;4;10.0;2
Mob;133;0;0;2;10.0;1
Mob;133;0;0;5;10.0;0
Mob;137;0;0;5;10.0;1
Mob;137;0;0;3;10.0;2
Mob;137;0;0;4;10.0;0
Mob;141;0;0;1;10.0;0
Mob;141;0;0;2;10.0;2
Mob;141;0;0;3;10.0;1
Mob;145;0;0;1;10.0;1
Mob;145;0;0;5;10.0;2
Mob;145;0;0;4;10.0;0
Mob;149;0;0;2;10.0;2
Mob;149;0;0;1;10.0;0
Mob;149;0;0;3;10.0;1
Mob;153;0;0;2;10.0;1
Mob;153;0;0;4;10.0;0
Mob;153;0;0;5;10.0;2
Mob;157;0;0;3;10.0;0
Mob;157;0;0;2;10.0;2
Mob;157;0;0;1;10.0;1
Mob;161;0;0;4;10.0;1
Mob;161;0;0;5;10.0;0
Mob;161;0;0;3;10.0;2
Mob;165;0;0;5;10.0;2
Mob;165;0;0;1;10.0;0
Mob;165;0;0;2;10.0;1
Mob;169;0;0;1;10.0;0
Mob;169;0;0;3;10.0;1
Mob;169;0;0;4;10.0;2
Mob;173;0;0;1;10.0;2
Mob;173;0;0;2;10.0;0
Mob;173;0;0;5;10.0;1
Mob;177;0;0;2;10.0;1
Mob;177;0;0;4;10.0;0
Mob;177;0;0;3;10.0;2
Mob;181;0;0;2;10.0;0
Mob;181;0;0;5;10.0;2
Mob;181;0;0;1;10.0;1
Mob;185;0;0;3;10.0;2
Mob;185;0;0;4;10.0;0
Mob;185;0;0;2;10.0;1
Mob;189;0;0;4;10.0;1
Mob;189;0;0;5;10.0;2
Mob;189;0;0;3;10.0;0
Mob;193;0;0;5;10.0;1
Mob;193;0;0;1;10.0;2
